person_age,person_income,person_home_ownership,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,loan_status
37,35000,0,0,0,6000,11.49,0.17,0
22,56000,1,1,1,4000,13.35,0.07,0
29,28800,1,2,2,6000,8.9,0.21,0
30,70000,0,3,0,12000,11.11,0.17,0
22,60000,0,1,2,6000,6.92,0.1,0
27,45000,0,3,2,9000,8.94,0.2,0
25,45000,2,0,2,12000,6.54,0.27,0
21,20000,0,2,1,2500,13.49,0.13,0
37,69600,0,0,3,5000,14.84,0.07,0
35,110000,2,4,1,15000,12.98,0.14,0
30,78000,2,3,0,12800,10.59,0.17,0
22,33000,0,2,0,10000,11.12,0.3,1
25,33000,2,0,0,4000,10.75,0.12,0
31,70000,2,4,0,16000,11.14,0.23,0
27,100000,0,5,1,5000,13.57,0.05,0
29,33000,1,1,2,7300,8.9,0.23,0
26,80000,0,5,3,17000,14.11,0.21,0
29,60000,1,1,2,15000,6.62,0.25,0
22,84000,2,4,0,5950,11.12,0.07,0
27,65000,2,4,1,4800,12.73,0.07,0
28,45000,1,2,2,3200,7.88,0.07,0
22,45000,2,2,2,7000,8.59,0.16,0
26,95000,2,0,2,10000,7.68,0.11,0
27,33000,0,3,2,3000,6.99,0.09,0
22,30000,0,1,3,5000,16.49,0.17,1
25,25000,0,3,1,3500,13.49,0.14,1
28,75000,2,3,2,14000,7.88,0.19,0
21,45000,0,4,2,2800,6.54,0.06,0
32,122004,2,1,2,10000,8.59,0.08,0
23,50000,0,2,0,6000,11.49,0.12,0
30,48000,0,0,0,2000,9.62,0.04,0
23,78000,2,2,2,5500,8.0,0.07,0
30,80000,0,1,0,6000,10.75,0.07,0
24,72000,0,3,1,16000,15.96,0.22,0
29,51000,2,2,2,12000,7.66,0.24,0
33,120000,2,0,4,6000,18.64,0.05,0
24,90000,2,4,2,14400,7.9,0.16,0
22,68000,2,2,1,15900,13.49,0.25,0
30,54000,0,1,0,12500,11.71,0.24,1
22,32000,0,0,3,8000,15.58,0.25,1
30,120000,2,0,2,4000,7.14,0.03,0
23,70000,2,3,0,10000,12.18,0.14,0
23,67000,2,4,2,16000,7.49,0.24,0
24,92700,1,0,0,2000,9.25,0.02,0
44,58000,0,5,1,15000,14.27,0.26,0
23,31200,0,1,0,2400,11.71,0.08,0
23,90000,2,2,2,12000,6.62,0.13,0
25,39996,0,4,0,8000,12.53,0.2,0
29,44000,2,0,0,10000,11.86,0.23,1
24,82632,0,4,0,10000,12.21,0.12,0
25,40000,0,0,2,8000,7.68,0.2,0
38,66000,0,5,0,10000,10.99,0.15,0
27,70000,0,0,2,20000,6.54,0.29,0
23,48000,0,1,2,8000,8.9,0.17,1
28,90000,2,0,0,6000,9.91,0.07,0
29,34560,0,1,4,10000,16.4,0.29,1
22,40000,2,2,0,12000,10.36,0.3,0
37,60000,2,3,2,2000,7.66,0.03,0
24,40000,0,1,0,14125,9.91,0.35,1
25,54000,0,4,1,3000,14.26,0.06,0
26,54000,0,2,2,9600,9.32,0.18,1
28,60000,0,3,2,5500,5.42,0.09,0
28,60000,0,2,4,17200,17.06,0.28,0
22,50000,0,2,1,4200,15.23,0.08,0
23,80000,2,3,2,2000,7.51,0.02,0
25,90000,2,3,2,15000,9.38,0.17,0
28,120000,2,3,1,7200,14.72,0.06,0
26,30000,0,1,2,12000,7.51,0.4,1
31,62900,2,1,3,18000,14.09,0.24,1
24,40000,0,1,1,3000,13.22,0.07,0
43,68000,2,1,2,5000,8.9,0.07,0
31,75000,2,4,2,12000,7.51,0.16,0
27,31200,0,2,1,3200,13.11,0.1,0
24,24000,0,1,0,3000,10.95,0.13,0
23,100000,2,0,2,6000,7.74,0.06,0
28,27000,1,2,2,12000,7.51,0.44,0
22,70000,2,4,2,10000,7.29,0.14,0
26,42000,0,3,0,2000,11.49,0.05,0
46,120000,0,4,0,20000,10.37,0.17,0
24,90000,2,2,2,10000,5.99,0.11,0
26,60000,0,4,0,7000,10.62,0.12,0
30,45600,0,4,2,23500,7.66,0.5,1
24,75000,0,2,0,15000,11.49,0.2,0
37,75000,0,2,2,10000,6.99,0.13,0
28,70000,0,5,0,16000,12.18,0.23,0
30,74000,2,4,3,7000,15.62,0.09,1
48,112000,2,1,2,5000,7.9,0.04,0
31,30000,0,3,2,12000,8.94,0.4,1
23,110000,2,4,0,6000,11.71,0.05,0
23,42000,0,4,0,3550,11.99,0.08,0
32,65000,2,3,3,5000,15.2,0.07,0
24,225000,0,1,1,3000,14.26,0.01,0
23,150000,2,3,0,20000,11.58,0.13,0
27,70000,2,0,1,6000,12.53,0.09,0
22,33000,0,2,0,9800,10.62,0.28,0
36,96000,2,2,2,15000,5.99,0.16,0
28,70000,0,5,0,12000,11.48,0.17,0
25,36000,2,1,2,8000,6.91,0.22,0
29,34000,0,5,3,3000,16.32,0.08,1
27,70000,0,0,0,15000,10.99,0.21,0
41,100000,2,2,0,15000,11.49,0.15,0
25,82000,0,5,0,24000,12.53,0.3,0
23,85000,0,0,0,8000,10.25,0.09,0
27,110000,2,3,2,15000,8.94,0.14,0
33,46000,2,2,1,6000,12.68,0.13,0
26,30000,1,1,2,6000,5.42,0.2,0
33,95000,2,4,0,14000,10.65,0.15,0
24,62900,0,1,3,18000,14.96,0.24,1
35,80496,1,5,2,20000,6.91,0.25,0
32,76000,0,3,1,14000,12.61,0.19,0
22,55000,0,0,2,8000,7.14,0.15,0
27,106925,2,1,0,19500,10.99,0.18,0
22,65000,0,2,2,3000,5.79,0.05,0
31,85000,2,4,1,6000,13.06,0.07,0
21,30000,0,5,1,6500,14.27,0.22,1
30,170000,2,5,2,17500,5.99,0.1,0
28,47000,2,5,1,4500,13.49,0.1,1
23,50000,1,0,1,2000,12.99,0.04,0
23,120000,0,0,0,16000,10.74,0.13,0
22,40000,2,0,0,6000,11.49,0.15,0
35,60000,0,0,1,19750,14.27,0.34,0
24,30000,0,1,0,10000,11.14,0.33,1
25,114750,0,1,2,6000,7.9,0.05,1
28,54000,2,2,2,12000,6.62,0.22,0
27,30000,0,3,3,4000,14.84,0.13,1
23,50000,0,3,2,3000,7.51,0.06,0
21,31000,0,0,0,10000,11.49,0.32,1
23,50000,0,0,0,15000,10.99,0.3,0
24,60000,2,3,2,6000,8.59,0.1,0
28,78000,0,5,0,24000,10.25,0.31,1
29,79992,2,4,0,6000,12.53,0.08,0
36,110000,2,5,2,28000,7.49,0.25,0
32,150000,0,5,2,25000,7.88,0.17,0
24,25000,0,1,0,5000,10.99,0.2,0
34,36000,0,4,0,8000,11.49,0.22,1
23,72000,0,1,2,15000,7.51,0.21,0
28,42000,0,4,1,4800,15.23,0.11,0
25,44004,0,2,3,18250,15.31,0.4,1
28,96000,2,2,0,5000,12.69,0.05,0
26,65000,2,2,0,5200,9.91,0.08,0
26,54833,0,1,0,10000,11.36,0.18,1
26,51000,0,3,2,8400,7.14,0.17,0
23,50000,0,0,0,18650,11.71,0.37,1
27,60000,0,1,2,3600,5.99,0.06,0
27,200000,2,0,2,24000,7.49,0.12,0
34,54000,2,1,2,5000,6.03,0.09,0
29,47412,2,0,2,6500,8.59,0.14,0
40,63000,2,0,2,4000,6.92,0.06,0
22,55000,2,1,0,2800,11.49,0.05,0
30,56000,2,4,0,12000,10.46,0.21,0
32,84996,2,2,0,8000,11.99,0.09,0
28,66847,0,2,3,10000,16.29,0.15,0
23,60000,0,0,0,12500,11.49,0.21,0
47,52000,2,5,2,7800,9.07,0.15,0
46,24996,0,2,1,5400,13.48,0.21,0
28,54996,0,1,0,5000,10.36,0.09,0
28,86400,2,1,2,12000,5.79,0.14,0
27,65000,2,3,2,12000,7.49,0.18,0
32,42000,0,4,0,4000,9.99,0.1,0
23,62500,2,3,0,20000,10.25,0.32,0
25,130000,2,0,0,13000,10.75,0.1,0
22,60000,0,1,2,6000,7.51,0.1,0
27,40000,0,0,0,1850,10.25,0.04,0
26,59000,0,4,3,8000,14.96,0.14,1
28,55000,2,3,0,10800,9.91,0.2,0
23,66000,0,2,2,3500,7.14,0.05,0
22,75000,2,3,1,15250,11.34,0.2,0
27,58200,2,3,0,14000,10.74,0.24,0
24,117000,0,2,1,8000,13.06,0.07,0
23,70000,2,4,0,10000,9.99,0.14,0
22,48000,0,0,0,3500,11.49,0.07,0
23,88000,2,0,0,15000,10.62,0.17,0
23,35000,0,3,2,4000,9.32,0.11,0
26,31200,0,0,1,2250,13.35,0.07,0
28,82600,1,2,0,20000,10.99,0.24,0
22,54996,2,4,2,10000,8.94,0.19,0
27,75000,0,3,0,20000,10.99,0.27,0
30,65000,2,1,2,14000,7.51,0.22,0
24,75000,2,1,0,3600,12.69,0.05,0
26,105000,0,0,0,15000,11.86,0.14,0
29,90000,0,1,0,12000,12.42,0.13,0
22,38400,2,4,2,7800,7.9,0.19,0
21,100000,2,4,0,15000,11.99,0.15,0
28,39000,2,4,2,6000,6.91,0.15,0
47,65000,2,3,3,7000,16.07,0.11,0
22,58000,0,0,0,1500,12.18,0.03,0
23,45504,0,0,1,8700,13.11,0.18,1
31,101000,0,5,1,20000,14.22,0.2,0
25,40000,0,0,0,1500,11.86,0.04,0
26,102000,2,4,0,18000,11.49,0.18,0
22,48996,2,4,2,10000,6.17,0.2,0
28,75000,2,4,0,24000,10.36,0.32,0
32,80000,1,3,3,9600,15.31,0.12,0
23,40000,0,1,0,3000,12.18,0.07,0
22,39000,2,1,3,3000,15.62,0.08,1
25,57000,2,4,0,20000,10.99,0.35,0
23,37148,0,4,2,2000,6.39,0.05,0
24,75000,0,2,1,10000,13.49,0.13,0
28,95000,2,3,1,18000,13.79,0.19,0
22,30000,0,4,1,6000,13.49,0.2,0
22,90000,2,0,0,14000,10.99,0.16,0
26,75531,0,4,2,12000,7.49,0.17,0
29,75000,2,2,0,8000,11.26,0.11,0
29,110000,2,2,2,10000,7.14,0.09,0
38,35000,0,3,0,6000,12.21,0.17,0
26,85000,2,4,0,5500,10.99,0.06,0
23,100000,2,3,2,11000,7.66,0.11,0
23,38400,2,2,1,15000,12.99,0.39,0
23,50000,0,4,0,6000,12.42,0.12,0
42,32640,0,3,0,4800,11.11,0.15,0
25,33000,0,1,0,4000,10.25,0.12,0
27,42000,0,2,1,4800,12.73,0.11,0
27,65000,0,2,1,10000,13.99,0.15,0
22,50000,0,2,4,4000,13.93,0.08,0
23,62000,2,2,0,5000,11.83,0.08,0
26,75000,2,5,0,15000,11.48,0.2,0
26,42000,0,3,0,5000,9.99,0.12,0
25,120000,0,4,1,16800,14.26,0.13,0
24,130000,2,1,0,14500,12.69,0.11,0
24,115000,2,0,2,5000,6.03,0.04,0
27,61500,0,5,1,15000,13.23,0.24,0
24,42000,0,4,3,5000,14.91,0.12,1
51,82000,2,2,2,10000,6.99,0.12,0
23,95000,0,0,0,2400,10.37,0.03,0
31,30000,0,5,0,15000,11.36,0.5,1
24,72000,0,1,2,14000,7.88,0.19,0
