,id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
0,5012,22,38000,RENT,0.0,PERSONAL,B,10000,10.99,0.26,N,2,0
1,57297,29,100000,MORTGAGE,6.0,VENTURE,B,12000,9.25,0.12,N,9,0
2,13933,23,90000,RENT,4.0,PERSONAL,C,10000,14.22,0.11,Y,3,0
3,58504,23,54000,MORTGAGE,7.0,HOMEIMPROVEMENT,C,2000,13.35,0.04,N,2,1
4,35358,22,35000,MORTGAGE,6.0,MEDICAL,A,3500,6.99,0.1,N,4,0
5,21343,27,78000,MORTGAGE,4.0,HOMEIMPROVEMENT,C,25000,13.43,0.32,Y,10,1
6,9330,29,54000,RENT,7.0,HOMEIMPROVEMENT,C,7500,12.84,0.14,Y,10,1
7,49416,23,29856,RENT,6.0,PERSONAL,A,10300,6.62,0.34,N,2,1
8,52049,29,75000,RENT,8.0,EDUCATION,C,9000,13.23,0.12,Y,8,0
9,50689,26,54400,MORTGAGE,3.0,MEDICAL,D,3000,15.65,0.05,N,2,1
10,45337,24,68000,RENT,8.0,VENTURE,A,1800,8.49,0.02,N,2,0
11,57048,24,39000,RENT,1.0,MEDICAL,D,16000,14.61,0.41,Y,3,1
12,22911,29,80000,RENT,0.0,DEBTCONSOLIDATION,C,7000,13.22,0.09,N,8,0
13,6111,27,72000,MORTGAGE,11.0,VENTURE,B,16000,12.42,0.22,N,5,0
14,20835,24,60000,RENT,4.0,HOMEIMPROVEMENT,B,8400,9.99,0.14,N,3,0
15,20278,23,71400,MORTGAGE,1.0,MEDICAL,D,12000,14.11,0.14,Y,4,1
16,25305,23,69764,RENT,0.0,HOMEIMPROVEMENT,B,1500,11.14,0.02,N,2,1
17,15571,26,45600,RENT,5.0,DEBTCONSOLIDATION,A,3000,6.62,0.07,N,2,0
18,19240,37,90000,MORTGAGE,9.0,HOMEIMPROVEMENT,A,12000,6.62,0.13,N,13,0
19,11617,25,44000,RENT,2.0,MEDICAL,D,7000,14.46,0.16,N,3,1
20,18867,24,100000,MORTGAGE,8.0,VENTURE,B,15000,11.49,0.15,N,4,0
21,48917,26,59000,RENT,2.0,PERSONAL,D,12000,17.27,0.2,Y,2,1
22,13981,25,45000,MORTGAGE,2.0,PERSONAL,A,7000,6.03,0.16,N,4,0
23,960,36,60000,RENT,0.0,EDUCATION,B,19200,10.99,0.31,N,14,1
24,12413,22,45000,MORTGAGE,4.0,VENTURE,A,14000,7.88,0.31,N,4,0
